time,source,sink
2604,112.7,38.4
2605,112.6,38.4
2606,112.7,38.4
2607,112.7,38.4
2608,112.6,38.4
2609,112.6,38.5
2610,112.7,38.6
2611,112.9,38.6
2612,112.8,38.6
2613,112.7,38.7
2614,112.6,38.7
2615,112.8,38.7
2616,112.7,38.6
2617,112.9,38.6
2618,113.2,38.3
2619,113.1,38.3
2620,113.1,38.4
2621,113.1,38.4
2622,113,38.4
2623,113.1,38.4
2624,112.9,38.5
2625,113.2,38.6
2626,113.1,38.6
2627,112.9,38.7
2628,113,38.7
2629,113,38.7
2630,113.1,38.7
2631,113.2,38.7
2632,113.4,38.6
2633,113.1,38.7
2634,113,38.7
2635,113,38.6
2636,112.9,38.5
2637,112.8,38.4
2638,113,38.4
2639,113.1,38
2640,113.3,38.2
2641,113.3,38.2
2642,113.3,38.4
2643,113.3,38.4
2644,113.3,38.5
2645,113.3,38.6
2646,113.3,38.7
2647,113.3,38.6
2648,113.1,38.5
2649,113.4,38.7
2650,113.6,38.7
2651,113.6,38.8
2652,113.4,38.8
2653,113.2,39
2654,113.2,38.9
2655,113.2,38.9
2656,113.2,38.9
2657,113.2,38.8
2658,113.2,38.8
2659,113,38.9
2660,112.8,39
2661,112.8,39
2662,112.7,38.9
2663,112.2,38.7
2664,111.9,38.7
2665,112,38.6
2666,112.5,38.8
2667,112.6,38.8
2668,112.7,38.8
2669,112.8,38.8
2670,112.6,38.7
2671,112.1,38.6
2672,112,38.5
2673,112.7,38.7
2674,112.7,38.7
2675,112.7,38.8
2676,112.8,38.8
2677,112.9,38.7
2678,112.8,38.8
2679,112.7,38.8
2680,113,38.7
2681,113.2,38.7
2682,113.3,38.8
2683,113.4,38.8
2684,113.5,38.8
2685,113.6,38.7
2686,113.8,38.6
2687,113.8,38.7
2688,113.7,38.7
2689,113.6,38.6
2690,113.3,38.8
2691,113.2,38.7
2692,113.2,38.8
2693,113.4,38.8
2694,113.5,38.7
2695,113.4,38.7
2696,113.2,38.7
2697,113.5,38.7
2698,113.4,38.7
2699,113.4,38.8
2700,113.4,38.7
2701,113.5,38.9
2702,113.5,38.8
2703,113.4,38.9
2704,113.1,38.7
2705,112.7,38.7
2706,113,38.6
2707,113.3,38.7
2708,113.1,38.8
2709,113.1,38.8
2710,113.2,38.8
2711,113,38.8
2712,113,38.6
2713,113.3,38.6
2714,113.4,38.3
2715,113.4,38.4
2716,113.2,38.6
2717,113,38.6
2718,112.8,38.5
2719,112.9,38.6
2720,112.9,38.6
2721,112.9,38.4
2722,112.9,38.5
2723,112.9,38.5
2724,112.9,38.6
2725,112.9,38.7
2726,112.9,38.8
2727,112.9,38.8
2728,112.9,38.8
2729,112.9,38.8
2730,112.9,38.8
2731,112.8,38.8
2732,112.5,38.9
2733,112.8,38.8
2734,113,38.8
2735,113,38.7
2736,113,38.8
2737,112.9,38.9
2738,112.7,38.8
2739,112.8,38.8
2740,112.8,38.9
2741,112.8,38.8
2742,112.7,38.7
2743,112.4,38.6
2744,112.4,38.5
2745,112.4,38.6
2746,112.6,38.6
2747,112.7,38.7
2748,112.8,38.7
2749,112.7,38.6
2750,112.7,38.7
2751,112.7,38.8
2752,112,39
2753,112,39
2754,111.8,39
2755,111.8,39
2756,112,38.9
2757,112,38.8
2758,112,38.7
2759,112.2,38.7
2760,112.3,38.8
2761,112.4,38.9
2762,112.4,38.9
2763,112.5,38.9
2764,112.6,39
2765,112.6,38.9
2766,112.9,38.9
2767,112.9,38.7
2768,112.9,38.7
2769,112.9,38.7
2770,112.8,38.7
2771,112.7,38.6
2772,112.8,38.5
2773,113,38.7
2774,113.1,38.8
2775,112.9,38.8
2776,112.9,38.9
2777,112.8,38.8
2778,112.9,38.9
2779,113.1,38.8
2780,113.1,38.9
2781,113.2,39
2782,113.4,39
2783,113.4,39.1
2784,113.3,39.1
2785,113.1,39.2
2786,113,39
2787,113.2,38.9
2788,113.1,38.8
2789,113.2,38.7
2790,113.5,38.4
2791,113.4,38.4
2792,113.4,38.3
2793,112.9,38.4
2794,112.8,38.4
2795,112.8,38.6
2796,112.9,38.8
2797,112.8,38.9
2798,112.7,38.9
